"Hello! This is the working master, without EPIC.",,,,,,,,,,,,,,
Anything broken will say so in the leftmost column. These likely need to be fixed manually.,,,,,,,,,,,,,,
"I can get a script set up to automatically pull tracts, but I'm not sure about blocks. I didn't look into this much when I made the master.",,,,,,,,,,,,,,
"The same lookup for the tract is the same lookup for the api pull, though, so it might be likely.",,,,,,,,,,,,,,
Oldest tree:,196,,,,,,,,,,,,,
Biggest tree:,192,"<- Though, one is just ""VERY BIG""...",,,,,,,,,,there are some values in L,,
5850,N,BROADWAY,305,1008,47,SUGAR MAPLE,15,5.5,83,BARGE,AUDIT TO COME,,,
,,,305,1008,52,WHITE ASH,17,5.5,94,BARGE,"41.984238, -87.660238",,,
1301,W,EARLY,305,3004,78,HONEY LOCUST,25,3.0,75,BARGE,,,,
1305,W,EARLY,305,3004,125,SILVER MAPLE,40,3.0,120,BARGE,,,,
1309,W,EARLY,305,3004,62,HONEY LOCUST,20,3.0,60,BARGE,,,,
1312,W,EARLY,305,3002,45,WHITE ASH,14,5.0,70,BARGE,,,,
1314,W,EARLY,305,3002,74,WHITE ASH,24,5.0,120,BARGE,,,,
1313,W,EARLY,305,3004,92,SILVER MAPLE,29,3.0,87,BARGE,,,,
1317,W,EARLY,305,3004,80,SILVER MAPLE,25,3.0,75,BARGE,EAST PARKWAY TREE,,,
1317,W,EARLY,305,3004,78,SILVER MAPLE,25,3.0,75,BARGE,WEST PARKWAY TREE,,,
1325,W,EARLY,305,3004,97,SILVER MAPLE,31,3.0,93,BARGE,EAST PARKWAY TREE,,,
1325,W,EARLY,305,3004,67,SILVER MAPLE,21,3.0,63,BARGE,WEST PARKWAY TREE,,,
1327,W,EARLY,305,3004,80,HONEY LOCUST,25,3.0,75,BARGE,,,,
1334,W,EARLY,305,3003,69,NORWAY MAPLE,22,4.5,99,BARGE,,,,
1335,W,EARLY,305,3004,67,NORWAY MAPLE,21,4.5,95,BARGE,,,,
1341,W,EARLY,305,3004,90,SILVER MAPLE,29,3.0,87,BARGE,,,,
1342,W,EARLY,305,3003,82,HONEY LOCUST,26,3.0,78,BARGE,,,,
1345,W,EARLY,305,3004,109,SILVER MAPLE,35,3.0,105,BARGE,,,,
1350,W,EARLY,305,3003,88,SILVER MAPLE,28,3.0,84,BARGE,EAST PARKWAY TREE,,,
1350,W,EARLY,305,3003,96,SILVER MAPLE,31,3.0,93,BARGE,WEST PARKWAY TREE,,,
1290,W,EARLY,305,3009,77,WHITE ASH,25,5.0,125,BARGE,,,,
1288,W,EARLY,305,3009,70,HONEY LOCUST,22,3.0,66,BARGE,,,,
1281,W,EARLY,305,3008,72,SILVER MAPLE,23,3.0,69,BARGE,,,,
1279,W,EARLY,305,3008,84,SILVER MAPLE,27,3.0,81,BARGE,,,,
1276,W,EARLY,305,3009,118,SILVER MAPLE,38,3.0,114,BARGE,,,,
1275,W,EARLY,305,3008,90,SILVER MAPLE,29,3.0,87,BARGE,,,,
1272,W,EARLY,305,3009,82,SILVER MAPLE,26,3.0,78,BARGE,,,,
1264,W,EARLY,305,3009,92,HONEY LOCUST,29,3.0,87,BARGE,,,,
1269,W,EARLY,305,3008,86,HONEY LOCUST,27,3.0,81,BARGE,,,,
1261,W,EARLY,305,3008,86,HONEY LOCUST,27,3.0,81,BARGE,,,,
1258,W,EARLY,305,3009,94,LINDEN,30,3.0,90,BARGE,,,,
1256,W,EARLY,305,3009,81,SILVER MAPLE,26,3.0,78,BARGE,,,,
1252,W,EARLY,305,3009,75,HONEY LOCUST,24,3.0,72,BARGE,,,,
1248,W,EARLY,305,3009,117,SILVER MAPLE,37,3.0,111,BARGE,,,,
1245,W,EARLY,305,3008,88,SILVER MAPLE,28,3.0,84,BARGE,,,,
1239,W,EARLY,305,3008,69,HONEY LOCUST,22,3.0,66,BARGE,,,,
1214,W,EARLY,305,3010,70,HONEY LOCUST,22,3.0,66,BARGE,,,,
1214,W,EARLY,305,3010,56,WHITE ASH,18,5.0,90,BARGE,,,,
5825,N,GLENWOOD,305,3004,75,NORTHERN CATALPA,24,2.0,48,BARGE,,,,
5814,N,GLENWOOD,305,2008,90,HONEY LOCUST,29,3.0,87,BARGE,,,,
5830,N,GLENWOOD,305,2008,92,HONEY LOCUST,29,3.0,87,BARGE,,,,
5840,N,GLENWOOD,305,2008,67,AMERICAN ELM,21,4.0,84,BARGE,,,,
Marked on apple,W,HOLLYWOOD,305,3005,46,WHITE OAK,15,5.0,75,BARGE,NW CORNER HOLLYWOOD & RIDGE,HOLLYWOOD (GATEWAY GARDEN),,
1301,W,HOLLYWOOD,305,3005,69,WHITE OAK,22,5.0,110,BARGE,NEXT TO DYING OAK,HOLLYWOOD (GATEWAY GARDEN),,
to,W,HOLLYWOOD,305,3005,70,WHITE OAK,22,5.0,110,BARGE,DYING TREE BEHIND WELCOME SIGN,HOLLYWOOD (GATEWAY GARDEN),,
1307,W,HOLLYWOOD,305,3005,44,FIELD MAPLE,14,4.0,56,BARGE,NEXT TREE EAST,HOLLYWOOD (GATEWAY GARDEN),,
5843,N,MAGNOLIA,305,1009,112,TREE OF HEN,36,2.0,72,BARGE,,,,
5835,N,MAGNOLIA,305,1009,102,SILVER MAPLE,32,3.0,96,BARGE,,,,
5827,N,MAGNOLIA,305,1009,55,NORWAY MAPLE,18,4.5,81,BARGE,,,,
5823,N,MAGNOLIA,305,1009,48,NORWAY MAPLE,15,4.5,68,BARGE,,,,
5815,N,MAGNOLIA,305,1009,93,SILVER MAPLE,30,3.0,90,BARGE,,,,
5811,N,MAGNOLIA,305,1009,46,NORWAY MAPLE,15,4.5,68,BARGE,,,,
5805,N,MAGNOLIA,305,,113,SILVER MAPLE,36,3.0,108,BARGE,,,,
5735,N,MAGNOLIA,305,,99,SILVER MAPLE,32,3.0,96,BARGE,WEST SIDEWALK ADJACENT TO 1223 VICTORIA,,,
5729,N,MAGNOLIA,305,,80,SILVER MAPLE,25,3.0,75,BARGE,,,,
5713,N,MAGNOLIA,305,,76,SILVER MAPLE,24,3.0,72,BARGE,,,,
5709,N,MAGNOLIA,305,,75,SILVER MAPLE,24,3.0,72,BARGE,,,,
5705,N,MAGNOLIA,305,,83,SILVER MAPLE,26,3.0,78,BARGE,,,,
5649,N,MAGNOLIA,305,,49,NORWAY MAPLE,16,4.5,72,BARGE,,,,
5643,N,MAGNOLIA,305,,43,WHITE ASH,14,5.0,70,BARGE,,,,
5830,N,MAGNOLIA,305,,85,HONEY LOCUST,27,3.0,81,BARGE,,,,
5862,N,MAGNOLIA,305,,57,NORWAY MAPLE,18,4.0,72,BARGE,,,,
5824,N,MAGNOLIA,305,,56,NORWAY MAPLE,18,4.0,72,BARGE,,,,
5820,N,MAGNOLIA,305,,59,NORWAY MAPLE,19,4.0,76,BARGE,,,,
5818,N,MAGNOLIA,305,,51,NORWAY MAPLE,16,4.0,64,BARGE,,,,
5730,N,MAGNOLIA,305,,58,WHITE ASH,18,5.0,90,BARGE,,,,
5726,N,MAGNOLIA,305,,75,LINDEN,24,3.0,72,BARGE,,,,
5665,N,RIDGE,,,43,WHITE ASH,14,5.0,70,BARGE,,,,
5681,N,RIDGE,,,50,WHITE ASH,16,5.0,80,BARGE,,,,
5715,N,RIDGE,,,61,AMERICAN ELM,19,4.0,76,BARGE,,,,
5787,N,RIDGE,,,80,AMERICAN ELM,25,4.0,100,BARGE,,,,
1276,W,VICTORIA,,,42,WHITE ASH,13,5.0,65,BARGE,,,,
1260,W,VICTORIA,,,43,NORWAY MAPLE,14,4.5,63,BARGE,,,,
1256,W,VICTORIA,,,89,MULBERRY,28,2.3,64,BARGE,,,,
1256,W,VICTORIA,,,86,SILVER MAPLE,27,3.0,81,BARGE,,,,
1224,W,VICTORIA,,,85,WHITE ASH,27,5.0,135,BARGE,,,,
1221,W,VICTORIA,,,79,SILVER MAPLE,25,3.0,75,BARGE,,,,
1237,W,VICTORIA,,,72,SILVER MAPLE,23,3.0,69,BARGE,,,,
1245,W,VICTORIA,,,94,SILVER MAPLE,30,3.0,90,BARGE,,,,
1247,W,VICTORIA,,,120,SILVER MAPLE,38,3.0,114,BARGE,,,,
1261,W,VICTORIA,,,58,NORWAY MAPLE,18,4.5,81,BARGE,,,,
1265,W,VICTORIA,,,52,NORWAY MAPLE,17,4.5,77,BARGE,,,,
1265,W,VICTORIA,,,59,WHITE ASH,19,5.0,95,BARGE,,,,
1269,W,VICTORIA,,,72,HORSE CHESTNUT,23,8.0,184,BARGE,,,,
1273,W,VICTORIA,,,50,NORWAY MAPLE,16,4.5,72,BARGE,,,,
1275,W,VICTORIA,,,54,NORWAY MAPLE,17,4.5,77,BARGE,,,,
1277,W,VICTORIA,,,63,HONEY LOCUST,20,3.0,60,BARGE,,,,
1277,W,VICTORIA,,,55.5,WHITE ASH,18,5.0,90,BARGE,,,,
5810,N,WAYNE,,,58,WHITE ASH,18,5.0,90,BARGE,,,,
5812,N,WAYNE,,,61,WHITE ASH,19,5.0,95,BARGE,,,,
5814,N,WAYNE,,,110,AMERICAN ELM,35,4.0,140,BARGE,,,,
5826,N,WAYNE,,,63,NORWAY MAPLE,20,4.5,90,BARGE,SOUTH PARKWAY TREE,,,
5826,N,WAYNE,,,68,NORWAY MAPLE,22,4.5,99,BARGE,NORTH PARKWAY TREE,,,
5832,N,WAYNE,,,136,HONEY LOCUST,43,3.0,129,BARGE,,,,
5836,N,WAYNE,,,51,NORWAY MAPLE,16,4.5,72,BARGE,,,,
5840,N,WAYNE,,,74,HONEY LOCUST,24,3.0,72,BARGE,SOUTH PARKWAY TREE,,,
5825,N,WAYNE,,,162,SILVER MAPLE,52,3.0,156,BARGE,,,,
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,86,BARGE,SECOND TREE NORTH OF DOOR,,,
5815,N,WAYNE,,,58,NORWAY MAPLE,18,4.5,81,BARGE,FIRT TREE NORTH OF DOOR,,,
5815,N,WAYNE,,,39,NORWAY MAPLE,12,4.5,54,BARGE,FIRST TREE SOUTH OF DOOR,,,
5815,N,WAYNE,,,60,NORWAY MAPLE,19,4.5,86,BARGE,SECOND TREE SOUTH OF DOOR,,,
1290,W,EARLY,,,65,NORWAY MAPLE,21,4.5,95,BARGE,CORNER OF WAYNE & EARLY,,,
1281,W,EARLY,,,58,SILVER MAPLE,18,3.0,54,BARGE,SE CORNER WAYNE & EARLY,,,
1281,W,EARLY,,,106,SILVER MAPLE,34,3.0,102,BARGE,ACROSS FROM ALLEY ENTRANCE,,,
1279,W,EARLY,,,67,HONEY LOCUST,21,3.0,63,BARGE,REAR OF BUILDING ON WAYNE,,,
5705,N,WAYNE,,,56,WHITE ASH,18,5.0,90,BARGE,,,,
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,BARGE,SOUTH PARKWAY TREE,,,
5710,N,WAYNE,,,45,NORWAY MAPLE,14,4.5,63,BARGE,NORTH PARKWAY TREE,,,
5720,N,WAYNE,,,79,SILVER MAPLE,25,3.0,75,BARGE,,,,
5720,N,WAYNE,,,90,AMERICAN ELM,29,4.0,116,BARGE,,,,
5722,N,WAYNE,,,103,SILVER MAPLE,33,3.0,99,BARGE,,,,
5734,N,WAYNE,,,113,SILVER MAPLE,36,3.0,108,BARGE,,,,END BARGE
6205,N,SHERIDAN,301.03,2001,82,SIVER MAPLE,26.1,3.0,78,BERGER PARK,BERGER PARK,,,BEGIN BERGER
6205,N,SHERIDAN,301.03,2001,113,COMMON MULBERRY,36,2.3,83,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,93,HONEY LOCUST,29.6,3.0,89,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,78.5,NORWAY MAPLE,25,4.5,113,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,158,RED MULBERRY,50.3,2.3,116,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,97,SLIPPERY ELM,30.9,4.0,124,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,95,NORWAY MAPLE,30.3,4.5,136,BERGER PARK,BERGER PARK,,,
6205,N,SHERIDAN,301.03,2001,114,NORWAY MAPLE,36.3,4.5,163,BERGER PARK,BERGER PARK,,,END BERGER
5400,N,WAYNE,308,2006,93,HONEY LOCUST,29.6,3.0,89,EARC,NE CORNER PARKWAY,,,BEGIN EARC
5400,N,WAYNE,308,2006,98,HONEY LOCUST,31.2,3.0,94,EARC,N PARKWAY,,,
1354,W,BALMORAL,308,2007,84,AMERICAN ELM?,26.7,4.0,107,EARC,MID PARKWAY,,,
1354,W,BALMORAL,308,,74,HONEY LOCUST,23.6,3.0,71,EARC,NW SIDE,,,
1354,W,BALMORAL,308,,73,SLIVER MAPLE,23.2,3.0,70,EARC,CORNER,,,
1408,W,BALMORAL,308,,88,SLIVER MAPLE,28,3.0,84,EARC,WEST END,,,
1420,W,BALMORAL,308,,104,SLIVER MAPLE,33.1,3.0,99,EARC,,,,
1428,W,BALMORAL,308,,86,HONEY LOCUST,27.4,4.5,119,EARC,,,,
1436,W,BALMORAL,308,,80,SLIVER MAPLE,25.5,3.0,82,EARC,,,,
1438,W,BALMORAL,308,,60,GR OR WHITE ASH,19.1,5.0,95,EARC,TREE TAGGED TWICE,,,
1448,W,BALMORAL,308,,67,NORWAY MAPLE,21.3,4.5,107,EARC,,,,
1460,W,BALMORAL,308,2014,59,NORWAY MAPLE,18.8,4.5,84,EARC,,,,
1472,W,BALMORAL,308,,66,HONEY LOCUST,21,3.0,63,EARC,BY LESCAS GARDEN,,,
1341,W,BALMORAL,308,,65,SILVER MAPLE,21,3.0,62,EARC,,,,
1351,W,BALMORAL,308,,64,SILVER MAPLE,20,3.0,61,EARC,,,,
1355,W,BALMORAL,308,,71,SILVER MAPLE,22,3.0,68,EARC,WEST EMD,,,
1401,W,BALMORAL,308,,53,ASH,17,5.0,84,EARC,,,,
1415,W,BALMORAL,308,3008,94,SLIVER MAPLE,30,3.0,90,EARC,,,,
1419,W,BALMORAL,308,,64,SLIVER MAPLE,20,3.0,61,EARC,,,,
1421,W,BALMORAL,308,,67,HONEY LOCUST,21,3.0,64,EARC,,,,
1431,W,BALMORAL,308,,66,NORWAY MAPLE?,21,4.5,94,EARC,,,,
1459,W,BALMORAL,308,,56,NORWAY MAPLE?,18,4.5,80,EARC,,,,
1469,W,BALMORAL,308,3009,60,HONEY LOCUST,18,3.0,57,EARC,,,,
5527,N,GLENWOOD,308,,103,HONEY LOCUST,33,3.0,99,EARC,,,,
5521,N,GLENWOOD,308,,41,NORWAY MAPLE,13,4.5,59,EARC,,,,
5519,N,GLENWOOD,308,,60,NORWAY MAPLE,19,4.5,86,EARC,,,,
5517,N,GLENWOOD,308,,48,HONEY LOCUST,15,3.0,45,EARC,,,,
5511,N,GLENWOOD,308,,70,AMERICAN ELM,22,4.0,88,EARC,,,,
5505,N,GLENWOOD,308,1007,86,GREEN ASH,27,4.0,108,EARC,,,,
5506,N,GLENWOOD,308,,89,SILVER MAPLE,28,3.0,84,EARC,,,,
5508,N,GLENWOOD,308,,100,AMERICAN ELM,32,4.0,128,EARC,,,,
5512,N,GLENWOOD,308,,53,AMERICAN ELM,17,4.0,68,EARC,,,,
5514,N,GLENWOOD,308,,114,SILVER MAPLE,36,3.0,108,EARC,,,,
5518,N,GLENWOOD,308,,50,HONEY LOCUST,16,3.0,48,EARC,,,,
5520,N,GLENWOOD,308,,44,RED MAPLE,14,4.5,63,EARC,,,,
5536,N,GLENWOOD,308,,59,WHITE ASH,19,5.0,95,EARC,,,,
5538,N,GLENWOOD,308,,64,WHITE ASH,20,5.0,100,EARC,,,,
5540,N,GLENWOOD,308,,53,BURR OAK,17,5.0,85,EARC,,,,
5542,N,GLENWOOD,308,,51,WHITE ASH,16,5.0,80,EARC,,,,
5544,N,GLENWOOD,308,,35,RED MAPLE,11,4.5,50,EARC,,,,
5550,N,GLENWOOD,308,,43,RED MAPLE,14,4.5,63,EARC,,,,
BROKEN! NEEDS FIXING: 5550,N,GLENWOOD,308,,84,AUDIT,27,,0,EARC,JUST NORTH,,,
5550,N,GLENWOOD,308,,41,COMMON HACKBERRY,13,2.0,26,EARC,PARKING LOT,,,
5550,N,GLENWOOD,308,,40,COMMON HACKBERRY,13,2.0,26,EARC,,,,
BROKEN! NEEDS FIXING: 0,N,GLENWOOD,308,1007,33,AMERICAN ELM,11,4.0,44,EARC,EAST SIDE OF GREGORY ON GLENWOOD AROUND THE CORNER FROM 1355 BRYN MAWR,,,
5553,N,GLENWOOD,308,1007,33,NORWAY MAPLE,11,4.5,50,EARC,,,,
5551,N,GLENWOOD,308,1007,68,HONEY LOCUST,22,3.0,66,EARC,,,,
5549,N,GLENWOOD,308,1007,87,HONEY LOCUST,28,3.0,84,EARC,,,,
5537,N,GLENWOOD,,,97,HONEY LOCUST,31,3.0,93,EARC,,,,
5401,N,GLENWOOD,,,86,HONEY LOCUST,27,3.0,81,EARC,,,,
5411,N,GLENWOOD,,,88,AMERICAN ELM,28,4.0,112,EARC,,,,
5417,N,GLENWOOD,,,78,HONEY LOCUST,25,3.0,75,EARC,,,,
5417,N,GLENWOOD,,,101,HONEY LOCUST,32,3.0,96,EARC,,,,
5419,N,GLENWOOD,,,45,SILVER MAPLE,14,3.0,42,EARC,,,,
5421,N,GLENWOOD,,,87,HONEY LOCUST,28,3.0,84,EARC,,,,
5425,N,GLENWOOD,,,85,SILVER MAPLE,27,3.0,81,EARC,,,,
5426,N,GLENWOOD,,,58,WHITE ASH,18,5.0,90,EARC,ON CORNER OF GLENWWOD AROUND THE CORNER FROM 1403 RASCHER,,,
BROKEN! NEEDS FIXING: 0,W,INVALID,,,53,GREEN ASH,17,4.0,68,EARC,???,,,
5418,N,GLENWOOD,,,57,GREEN ASH,18,4.0,72,EARC,,,,
5416,N,GLENWOOD,,,60,HONEY LOCUST,19,3.0,57,EARC,,,,
5412,N,GLENWOOD,,,35,GREEN ASH,11,4.0,44,EARC,,,,
5410,N,GLENWOOD,,,39,NORWAY MAPLE,12,4.5,54,EARC,,,,
5410,N,GLENWOOD,,,57,GREEN ASH,18,4.0,72,EARC,,,,
5400,N,GLENWOOD,,,83,SILVER MAPLE,26,3.0,78,EARC,,,,
5432,N,GLENWOOD,,,55,HONEY LOCUST,18,3.0,54,EARC,,,,
5434,N,GLENWOOD,,,92,SILVER MAPLE,29,3.0,87,EARC,,,,
5442,N,GLENWOOD,,,69,WHITE ASH,22,5.0,110,EARC,,,,
5444,N,GLENWOOD,,,64,WHITE ASH,20,5.0,100,EARC,,,,
5448,N,GLENWOOD,,,59,NORWAY MAPLE,19,4.5,86,EARC,,,,
5452,N,GLENWOOD,,,43,AMERICAN ELM,14,4.0,56,EARC,,,,
5455,N,GLENWOOD,,,85,HONEY LOCUST,27,3.0,81,EARC,ON GLENWWOD AROUND THE CORNER FROM CATALPA -NORTH OF 5455 GLENWOOD,,,
5449,N,GLENWOOD,,,98,SILVER MAPLE,31,3.0,93,EARC,,,,
5445,N,GLENWOOD,,,58,RED MAPLE,18,4.5,81,EARC,,,,
5439,N,GLENWOOD,,,46,WHITE ASH,15,5.0,75,EARC,,,,
5437,N,GLENWOOD,,,39,WHITE ASH,12,5.0,60,EARC,,,,
5433,N,GLENWOOD,,,67,WHITE ASH,21,5.0,105,EARC,,,,
5431,N,GLENWOOD,,,32,GREEN ASH,10,4.0,40,EARC,,,,
5302,N,GLENWOOD,,,58,HONEY LOCUST,18,3.0,54,EARC,,,,
5306,N,GLENWOOD,,,51,WHITE ASH,16,5.0,80,EARC,,,,
5308,N,GLENWOOD,,,37,NORWAY MAPLE,12,4.5,54,EARC,,,,
5314,N,GLENWOOD,,,58,WHITE ASH,18,5.0,90,EARC,,,,
5318,N,GLENWOOD,,,62,HONEY LOCUST,20,3.0,60,EARC,,,,
5322,N,GLENWOOD,,,87,SILVER MAPLE,28,3.0,84,EARC,,,,
5325,N,GLENWOOD,,,34,HONEY LOCUST,11,3.0,33,EARC,TWO TREES TOGTHER,,,
5325,N,GLENWOOD,,,42,HONEY LOCUST,13,3.0,39,EARC,TWO TREES TOGTHER,,,
5311,N,GLENWOOD,,,67,WHITE ASH,21,5.0,105,EARC,PROPERTY LINE BETWEEN,,,
5311,N,GLENWOOD,,,62,WHITE ASH,20,5.0,100,EARC,,,,
5305,N,GLENWOOD,,,87,AMERICAN ELM,28,4.0,112,EARC,,,,
BROKEN! NEEDS FIXING: 5305,N,GLENWOOD,,,43,FIELD ELM,14,,0,EARC,SOUTH OF 5305 AROUND CORNER,,,
1354,W,SUMMERDALE,,,31,AMERICAN ELM,10,3.0,30,EARC,ON GLENWOOD CORNER,,,
1400,W,SUMMERDALE,,,73,COMMON HACKBERRY,23,2.0,46,EARC,AROUND CORNER ON GLENWOOD,,,
5338,N,GLENWOOD,,,59,NORWAY MAPLE,19,4.5,86,EARC,,,,
5342,N,GLENWOOD,,,50,NORWAY MAPLE,16,4.5,72,EARC,,,,
5346,N,GLENWOOD,,,44,NORWAY MAPLE,14,4.5,63,EARC,,,,
5350,N,GLENWOOD,,,79,SILVER MAPLE,25,3.0,75,EARC,,,,
5354,N,GLENWOOD,,,37,NORWAY MAPLE,12,4.5,54,EARC,,,,
5356,N,GLENWOOD,,,47,NORWAY MAPLE,15,4.5,68,EARC,,,,
1355,W,BALMORAL,,,115,SILVER ELM,37,2.0,74,EARC,ON GLENWOOD CORNER,,,
5355,N,GLENWOOD,,,80,HONEY LOCUST,25,3.0,75,EARC,,,,
5351,N,GLENWOOD,,,86,HONEY LOCUST,27,3.0,81,EARC,,,,
5345,N,GLENWOOD,,,122,HONEY LOCUST,39,3.0,117,EARC,,,,
5345,N,GLENWOOD,,,86,SIVER MAPLE,27,3.0,81,EARC,,,,END EARC
5200,N,WINTHROP,307,1003,81,HONEY LOCUST,25.8,3.0,77,EBNA,,,,BEGIN EBNA
5206,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3.0,81,EBNA,,,,
5206,N,WINTHROP,307,,111,HONEY LOCUST,35.4,3.0,106,EBNA,,,,
5207,N,WINTHROP,307,1004,63,SILVER MAPLE,20.1,3.0,60,EBNA,,,,
5217,N,WINTHROP,307,,93,HONEY LOCUST,29.6,3.0,89,EBNA,,,,
5223,N,WINTHROP,307,,80,HONEY LOCUST,25.5,3.0,77,EBNA,,,,
5224,N,WINTHROP,307,,64,HONEY LOCUST,20.4,3.0,61,EBNA,,,,
5227,N,WINTHROP,307,,81,HONEY LOCUST,25.8,3.0,77,EBNA,,,,
5228,N,WINTHROP,307,1003,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5235,N,WINTHROP,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,
5235,N,WINTHROP,307,,66,HONEY LOCUST,21,3.0,63,EBNA,,,,
5240,N,WINTHROP,307,,80,HONEY LOCUST,25.5,3.0,77,EBNA,,,,
5248,N,WINTHROP,307,,90,HONEY LOCUST,28.7,3.0,86,EBNA,,,,
5309,N,WINTHROP,307,,67,HONEY LOCUST,21.3,3.0,64,EBNA,,,,
5321,N,WINTHROP,307,,89,HONEY LOCUST,28.3,3.0,85,EBNA,,,,
5330,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3.0,81,EBNA,,,,
5327,N,WINTHROP,307,,97,HONEY LOCUST,30.9,3.0,93,EBNA,,,,
5331,N,WINTHROP,307,,72,HONEY LOCUST,22.9,3.0,69,EBNA,,,,
5339,N,WINTHROP,307,,60,HONEY LOCUST,19.1,3.0,57,EBNA,,,,
5346,N,WINTHROP,307,,97,HONEY LOCUST,30.9,3.0,93,EBNA,,,,
5346,N,WINTHROP,307,,75,HONEY LOCUST,23.9,3.0,72,EBNA,,,,
5349,N,WINTHROP,307,,63,HONEY LOCUST,20.1,3.0,60,EBNA,,,,
5352,N,WINTHROP,307,,90,HONEY LOCUST,28.7,3.0,86,EBNA,,,,
5404,N,WINTHROP,307,,85,HONEY LOCUST,27.1,3.0,81,EBNA,,,,
5411,N,WINTHROP,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,
5411,N,WINTHROP,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,
5422,N,WINTHROP,307,,96,HONEY LOCUST,30.6,3.0,92,EBNA,,,,
5423,N,WINTHROP,307,,69,HONEY LOCUST,22,3.0,66,EBNA,,,,
5428,N,WINTHROP,307,,104,SIBERIAN ELM,33.1,2.0,66,EBNA,,,,
5428,N,WINTHROP,307,,63,MISSING,20.1,4.0,80,EBNA,,,,
5443,N,WINTHROP,307,,82,AMERICAN ELM,26.1,4.0,104,EBNA,,,,
5444,N,WINTHROP,307,,74,HONEY LOCUST,23.6,3.0,71,EBNA,,,,
5449,N,WINTHROP,307,,72,HONEY LOCUST,22.9,3.0,69,EBNA,,,,
5515,N,WINTHROP,307,,61,HONEY LOCUST,19.4,3.0,58,EBNA,,,,
